Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24
84,4/14/2020 10:11,640131174.9,6131.868,-69.15,157.06,700932,79.022,317.06,-99.99,318.29,-99.99,319.52,-99.99,207.15,-9.99,207.95,-9.99,208.76,-9.99,1.10857E+23,9.9,105.94,1.876
85,4/14/2020 10:11,640131175,6131.761,-69.15,157.05,700008,78.918,324.53,-99.99,325.76,-99.99,326.99,-99.99,207.19,-9.99,207.98,-9.99,208.76,-9.99,1.13448E+23,9.9,105.937,1.876
86,4/14/2020 10:11,640131175,6131.626,-69.15,157.05,698841,78.787,334.22,-99.99,335.45,-99.99,336.68,-99.99,207.35,-9.99,208.11,-9.99,208.88,-9.99,1.16745E+23,9.9,105.934,1.876
87,4/14/2020 10:11,640131175.1,6131.518,-69.15,157.05,697908,78.682,342.17,-99.99,343.4,-99.99,344.63,-99.99,207.31,-9.99,208.06,-9.99,208.8,-9.99,1.19545E+23,9.9,105.931,1.876
88,4/14/2020 10:11,640131175.2,6131.405,-69.16,157.05,696932,78.571,350.7,-99.99,351.93,-99.99,353.16,-99.99,207.21,-9.99,207.94,-9.99,208.66,-9.99,1.22586E+23,9.9,105.929,1.877
89,4/14/2020 10:11,640131175.2,6131.265,-69.16,157.04,695722,78.435,361.56,-99.99,362.79,-99.99,364.02,-99.99,207.38,-9.99,208.08,-9.99,208.79,-9.99,1.26279E+23,9.9,105.926,1.877
90,4/14/2020 10:11,640131175.3,6131.153,-69.16,157.04,694754,78.326,370.48,-99.99,371.71,-99.99,372.94,-99.99,207.43,-9.99,208.12,-9.99,208.81,-9.99,1.29363E+23,9.9,105.923,1.877
91,4/14/2020 10:11,640131175.4,6131.019,-69.16,157.04,693596,78.195,381.44,-99.99,382.67,-99.99,383.9,-99.99,207.7,-9.99,208.37,-9.99,209.04,-9.99,1.33018E+23,9.9,105.92,1.877
92,4/14/2020 10:11,640131175.4,6130.892,-69.17,157.04,692498,78.072,392.11,-99.99,393.34,-99.99,394.57,-99.99,208,-9.99,208.66,-9.99,209.31,-9.99,1.36537E+23,9.9,105.917,1.877
93,4/14/2020 10:11,640131175.5,6130.752,-69.17,157.03,691288,77.935,404.2,-99.99,405.43,-99.99,406.66,-99.99,208.58,-9.99,209.21,-9.99,209.85,-9.99,1.40358E+23,9.9,105.915,1.877
